sample-id	study
SRR3181596	D
SRR3181597	D
SRR3181598	D
SRR3181599	D
SRR3181600	D
SRR3181601	D
SRR3181602	D
SRR3181603	D
SRR3181604	D
SRR3181605	D
SRR3181606	D
SRR3181607	D
SRR3181608	D
SRR3181609	D
SRR3181610	D
SRR3181611	D
SRR3181612	D
SRR3181613	D
SRR3181614	D
SRR3181615	D
SRR3181616	D
SRR3181617	D
SRR3181618	D
SRR3181619	D
SRR3181620	D
SRR3181621	D
SRR3181622	D
SRR3181623	D
SRR3181624	D
SRR3181625	D
SRR3181626	D
SRR3181627	D
SRR3181628	D
SRR3181629	D
SRR3181630	D
SRR3181631	D
SRR3181632	D
SRR3181633	D
SRR3181634	D
SRR3181635	D
SRR3181636	D
SRR3181637	D
SRR3181638	D
SRR3181639	D
SRR3181640	D
SRR3181641	D
SRR3181642	D
SRR3181643	D
SRR3181644	D
SRR3181645	D
SRR3181646	D
SRR3181647	D
SRR3181648	D
SRR3181649	D
SRR3181650	D
SRR3181651	D
SRR3181652	D
SRR3181653	D
SRR3181654	D
SRR3181655	D
SRR3181656	D
SRR3181657	D
SRR3181658	D
SRR3181659	D
SRR3181660	D
SRR3181661	D
SRR3181662	D
SRR3181663	D
SRR3181664	D
SRR3181665	D
SRR3181666	D
SRR3181667	D
SRR3181668	D
SRR3181669	D
SRR3181670	D
SRR3181671	D
SRR3181672	D
SRR3181673	D
SRR3181674	D
SRR3181675	D
SRR3181676	D
SRR3181677	D
SRR3181678	D
SRR3181679	D
SRR3181680	D
SRR3181681	D
SRR3181682	D
SRR3181683	D
SRR3181684	D
SRR3181685	D
SRR3181686	D
SRR3181687	D
SRR3181688	D
SRR3181689	D
SRR3181690	D
SRR3181691	D
SRR3181692	D
SRR3181693	D
SRR3181694	D
SRR3181695	D
SRR3181696	D
SRR3181697	D
SRR3181698	D
SRR3181699	D
SRR3181700	D
SRR3181701	D
SRR3181702	D
SRR3181703	D
SRR3181704	D
SRR3181705	D
SRR3181706	D
SRR3181707	D
SRR3181708	D
SRR3181709	D
SRR3181710	D
SRR3181711	D
SRR3181712	D
SRR3181713	D
SRR3181714	D
SRR3181715	D
SRR3181716	D
SRR3181717	D
SRR3181718	D
SRR3181719	D
SRR3181720	D
SRR3181721	D
SRR3181722	D
SRR3181723	D
SRR3181724	D
SRR3181725	D
SRR3181726	D
SRR3181727	D
SRR3181728	D
SRR3181729	D
SRR3181730	D
SRR3181731	D
SRR3181732	D
SRR3181733	D
SRR3181734	D
SRR3181735	D
SRR3181736	D
SRR3181737	D
SRR3181738	D
SRR3181739	D
SRR3181740	D
SRR3181741	D
SRR3181742	D
SRR3181743	D
SRR3181744	D
SRR3181745	D
SRR3181746	D
SRR3181747	D
SRR3181748	D
SRR3181749	D
SRR3181750	D
SRR3181751	D
SRR3181752	D
SRR3181753	D
SRR3181754	D
SRR3181755	D
SRR3181756	D
SRR3181757	D
SRR3181758	D
SRR3181759	D
SRR3181760	D
SRR3181761	D
SRR3181762	D
SRR3181763	D
SRR3181764	D
SRR3181765	D
SRR3181766	D
SRR3181767	D
SRR3181768	D
SRR3181769	D
SRR3181770	D
SRR3181771	D
SRR3181772	D
SRR3181773	D
SRR3181774	D
SRR3181775	D
SRR3181776	D
SRR3181777	D
SRR3181778	D
SRR3181779	D
SRR3181780	D
SRR3181781	D
SRR3181782	D
SRR3181783	D
SRR3181784	D
SRR3181785	D
SRR3181786	D
SRR3181787	D
SRR3181788	D
SRR3181789	D
SRR3181790	D
SRR3181791	D
SRR3181792	D
SRR3181793	D
SRR3181794	D
SRR3181795	D
SRR3181796	D
